name,website,actual-website,company-overview
blinq,https://www.restauranttechlive.co.uk/exhibitors/blinq/,http://www.blinqme.com/,"blinq is a redesigned point-of-sale software, targeting all restaurant types. Our products are iOS cloud-based, designed to optimise restaurant operations, by increasing revenue, decreasing costs and enhancing customer service.

Our products include:

1) blinq POS
2) blinq Waiter (tableside ordering)
3) blinq Customer (COVID friendly)
4) Dashboard (analytics)

Our fully-integrated software provides a frictionless experience, streamlining all your operations.

We are introducing the next generation of point-of-sale systems developed with ease-of-use and affordability in mind. Our subscription is £29/month, for unlimited devices.

No contract. No mandatory hardware. This is not just a subscription, this is a partnership.

Our ecosystem provides a seamless dining experience, that unites customers and restaurants.

Be different!

e: info@blinqme.com"
BlueSnap Payment Services Ltd,https://www.restauranttechlive.co.uk/exhibitors/bluesnap-payment-services-ltd-/,https://home.bluesnap.com/,"BlueSnap provides an All-in-one Payment Platform designed to accelerate commerce for B2B and B2C businesses. Our Platform supports online and mobile sales, marketplaces, subscriptions, invoice payments and manual orders through a virtual terminal. With a single-integration to our Platform you can accept any payment with ease. The Platform includes access to 100 payment types, including popular e-wallets, built-in world class fraud prevention to protect your sales and detailed analytics to help you grow your business. And with integrations to over 100 platforms and shopping carts, you can start processing payments immediately. Learn how BlueSnap can help your business accept payments and sell more"
bots.co.uk,https://www.restauranttechlive.co.uk/exhibitors/botscouk/,https://bots.co.uk/,"Bots.co.uk have revolutionised the automation industry by offering Robots as a service on a hire basis. Robot Hire takes away all the risk of automating a process because the cost is reduced massively.

Bots.co.uk specialise in Cobots and Autonomous Industrial Robots. We do not have affiliates with any company which means we can offer you the right robot for the right job. We distribute Universal Robots, Franka Emika Panda, NEW Kassow 7 Axis Robot as well as ABB Yumi and MIR. We have a full showroom and demo area were we can show you the robots in operation and discuss the operation you would like to automate.

Cobots and Robots can helps increase productivity and safety among your workforce.

We have installed robots for production testing, machine tending, welding as well as the easier pick and place and palletising. Cobots are very versatile and can switch rolls between different applications."
BPL,https://www.restauranttechlive.co.uk/exhibitors/bpl/,https://www.bpl-digital.com/,company-overview
BusinessesForSale.com,https://www.restauranttechlive.co.uk/exhibitors/businessesforsalecom/,https://uk.businessesforsale.com/,"Search over 6,000 food businesses for sale in the UK, including restaurants, takeaways, coffee shops, catering, food wholesale and distribution.

BusinessesForSale.com connects business buyers and sellers.

The website is the world's largest businesses for sale marketplace, attracting over 1.2 million buyers and sellers every month.

For the aspiring entrepreneur, BusinessesForSale.com provides a route into ownership and advertises 74,000 businesses in 145 countries. Whatever your passion, we'll have a business for sale to match.

If you are looking to sell your business, we can help you cost-effectively market your business and find the right buyer.

Whether you're looking to get in, grow or get out, BusinessesForSale.com has everything you need.

Come and speak to the team or browse a selection of businesses for sale at our Wall of Business."
ChatFood,https://www.restauranttechlive.co.uk/exhibitors/chatfood/,http://www%2Cchatfood.io/,"A commission free online ordering system. Beautiful UI, official Instagram Order Food partner, plugs into any website. We help restaurants grow with automated growth hacking features, and make their lives easier with integrations to best in class PoS and delivery partners."
Checkfer,https://www.restauranttechlive.co.uk/exhibitors/checkfer/,https://www.checkfer.com/#,"Do you experience an increasing number of customers who work or stay for extended periods of time without reordering? The truth is that a large majority of customers would like to re-order, but don’t want to leave their items unattended and queue again. Checkfer enables you to deliver additional sales whilst improving your customer experience.

The Checkfer Hospitality team have worked with Industry experts to create a model to support the ROI of the solution with your organisation.

We hope that you find the models useful and look forward to your feedback and open dialogue on how to make Checkfer Hospitality work for you."
Cradlepoint,https://www.restauranttechlive.co.uk/exhibitors/cradlepoint/,https://cradlepoint.com/uk/,"Cradlepoint was born in Boise and built for wireless. We are a team of authentic, hard-working, and innovative people driven by a shared vision to Connect Beyond the limits of wired networks. We help customers utilize 4G and 5G cellular technology to connect people, places, and things — anywhere.

We’re at the forefront of Wireless WAN and 5G — the next big waves in networking — and we remain as hungry and humble as the day we started. If you’re eager to be part of something big, come join us. We’re hiring, and we’re looking in all corners of the world for the right talent to build our teams.

More than 25,000 businesses and government agencies around the world, including many Global 2000 organizations and top public sector agencies, rely on Cradlepoint to keep mission-critical sites, points of commerce, field forces, vehicles, and IoT devices always connected.

Cradlepoint was founded in 2006, acquired by Ericsson in 2020, and operates today as a standalone subsidiary within Ericsson’s Business Area Technologies and New Business portfolio. Cradlepoint is headquartered in Boise, Idaho, with development centers in Silicon Valley and India and international offices in the UK and Australia."
Deliverect,https://www.restauranttechlive.co.uk/exhibitors/deliverect/,https://www.deliverect.com/en-gb/?utm_campaign=Media&utm_source=RTIS%20-%20help%20hub&utm_medium=Sponsor%20profile,"When working with Deliverect, adding extra delivery platforms won't increase operational work for the restaurant but it will increase online sales and visibility. Online orders are processed directly in the POS and can be managed from one place. This way there is no energy and time wasted in rekeying orders to obtain a receipt for the customer. Plus, receipts all have the same no matter which delivery platform, making it easier for the kitchen to prepare orders.
Moreover, restaurants using Deliverect can change their different online menus from one interface. The software helps restaurant owners to keep track of their online orders, to manage their stock, and to provide real-time reports of online sales.
Eventually this results in cost-efficiency and increase in sales.

- Order management : Accept orders from one place
- Auto print: Accept and print orders automatically
- Menu management : Change all online menu's from one interface
- Reports & insights : Get detailed reports of all online sales
- Standardised receipts: Orders are printed with the same layout
- Stock management : combine in-restaurant and online sales to see which product to reorder
- Save time : No rekeying orders, online orders are pushed directly to the POS
- Save money : Save costs of a full-time employee rekeying orders and prevent making costly mistakes

Manage your online delivery more efficiently and get more happy customers!"
Diggecard,https://www.restauranttechlive.co.uk/exhibitors/diggecard/,https://www.diggecard.com/,"Diggecard offers gift card solutions to bars and restaurants, helping businesses to increase sales channels, boost revenue and attract new customers.

Gift cards have many commercial benefits...

They add additional sales channels and increase revenue. Customers typically spend an additional 67% on top of the gift card value, called 'up spend'. Also, gift cards help to attract new customers, on average 18% of gift card recipients will become loyal to that brand.

Gift card expertise and technology...

Diggecard is a global provider of gift card expertise and technology, and we already work with restaurants, bars and hospitality partners to deliver gift card programmes. Zizzi and Ask Italian are two large high street chains that we work with, as well as other smaller chains and standalone operations.

A range of services and solutions...

Our services range from simple, self service solutions that are up and running within a few hours to fully bespoke programmes. Our solutions will enable to you do the following:

- Launch and sell gift cards on your website
- Create your own range of designs and offers (or use the templates)
- Add personalisation; your customers can buy a gift card and include a message, as well as attach an image or video
- Timed delivery; customers can choose the date and time of gift card delivery
- Gift card redemption
- Gift card processing and payments
- Gift card delivery
- Reporting and performance dashboard access

Watch this short video to find out what we do at Diggecard..."
DigiX,https://www.restauranttechlive.co.uk/exhibitors/digix/,https://www.digixradio.co.uk/,"DigiX est 2009 is committed to designing, manufacturing and distributing quality, customer-focused Push to Talk (PTT) devices for professionals across the UK. We strive to engage with our customer base, allowing us to understand exactly what they need from their Professional Mobile Radios (PMRs) or Push to Talk over Cellular (PoC) devices. Our team of highly skilled, innovative and experienced technicians and developers then set to work to achieve the desired features.

We offer a two-year warranty on all of our products giving our customers peace of mind that they`ve got a handset which will last. DigiX is a brand you can trust, rely on and build with.

Our first product, the Air, was swiftly followed by many other models including our hugely successful DigiA & Neo. The Horizon, our latest model is an example of the state of the art PTTs DigiX is capable of. The touch screen and Android operating system give the device capabilities which are unmatched in the industry and allow users to tailor the handset to suit their needs. It even has worldwide GPS (including Russia and China).

Our radios are all robust, offer a range of connection options and come with a set of features which make them ideal for the sector they`re intended for. Each of our handsets has a set of features which make more suited to a particular industry. Please call up or email if you`re interested in purchasing a device and our friendly customer services team will walk you through which of our models is suited to your needs."
eDrinks,https://www.restauranttechlive.co.uk/exhibitors/edrinks-solutions/,https://www.edrinksolutions.com/,"eDrinks® are a Digital Drinks Currency used between friends, family and even strangers.

Our goal is to reimagine social drinking and bring people together again inside our community pubs and bars. We have set out on a mission to realise this by creating a digital currency for drinks to be used in various social settings, from gifting to dating and festivals to brand launches."
ePOS Hybrid,https://www.restauranttechlive.co.uk/exhibitors/epos-hybrid/,http://www.eposhybrid.com/,"ePOS Hybrid offer low cost yet powerful ePOS technology dedicated to the hospitality food industry. We provide fully connected point of sale solutions for bars, restaurants, takeaways and cafes.

We offer the most advanced point of sale functionality in the UK, with a wide selection of hardware and software products designed to manage every area of a busy hospitality business. Hardware solutions include everything from ePOS terminals and kitchen displays to online ordering platforms, mobile apps and customer self checkouts. We even offer the UK's first interactive smart table."
Eposense,https://www.restauranttechlive.co.uk/exhibitors/ssayy/,https://www.eposense.com/,"EPOS system | BOOKING system | RESERVATION solution | DRIVER tracking | and more...

EPOSENSE systems are tried, tested and approved by many small to medium businesses in the food and drink industry. Giving them access to the latest technology and marketing tools at affordable prices.
We understand the importance of finding a day to day routine that works and with our intelligent technology, you can run your business better than yesterday, on any smart device from anywhere in the world.

• EPOS System - cloud-based epos system is more than just a tills system, it is a powerful back office with many features, and works to full efficiency both online and offline.
• EPOSENSE Tracking- Know where your drivers are 24/7 through real-time vehicle tracking. Readily see your vehicles on a Live Map view with advanced geolocation technology. Don`t waste time calling drivers for locations. Cut driving time and optimize drop routes. Make maximum use of professional navigation technology and live traffic updates. Improve Service Levels through affective dispatching and easy driver communication.
• Booking System - Our intelligent booking solution can make inopportune telephone calls a thing of the past. Take online, phone and walk-in bookings in real-time, with automatic or manual confirmation. An unlimited amount of customers, with an unlimited amount of bookings can be managed from anywhere, at any time.
• Reservation Solution - Complete table and guest reservation system let your customer make reservations from your website and received the booking in your booking management. Quickly manage tables, bookings and covers across multiple dining rooms or restaurants.
• EPOSENSE also provides e-Shops, clock in/out and more...

We are dedicated to matching our user friendly, affordable, customer accessible, brand enhancing software solutions to each and every one of our clients. Our cloud-based modular systems can be tailored to your individual needs, this creates opportunities for businesses to grow.

Come and talk to us about how we can provide YOU with a complete innovative software solution."
Ergonomic Solutions Ltd,https://www.restauranttechlive.co.uk/exhibitors/ergonomic-solutions-ltd/,https://www.ergonomic.solutions/,"SpacePole technology mounting solutions enable a wide range of static and mobile technology hardware throughout the hospitality & food service environment. We provide solutions that enable efficient customer service and enhanced productivity for the operator.

Our sophisticated tablet enclosures and frames have an emphasis on security and functionality and are a space saving replacement for the traditional point of sale. They also enable a wide range of applications including front of house and kitchen management applications. Self-service and takeaway/delivery options mounting solutions protect hardware & empower customers to self-serve

We have solutions that promote social distancing, protection & hygiene relevant to the issues we`re currently facing. Our SafeGuard Screen has been developed to protect staff & customers, the Payment Paddle allows arm`s length contactless secure payment transactions & our hand-sanitiser holder increases customer confidence when making payment transactions."
ETI Ltd,https://www.restauranttechlive.co.uk/exhibitors/eti-ltd/,https://thermometer.co.uk/,"ETI Ltd, is a British, award-winning digital thermometer manufacturer, producing digital and infrared thermometers for food service and industry together with data-loggers, moisture meters, humidity and pH meters.

With increasing demand for WiFi and Bluetooth temperature products, ETI has developed a range to meet this market and in 2018 they won the Queen`s Award for Enterprise for Innovation, their fourth Queen`s Award in six years.

In addition to manufacturing temperature measuring equipment, ETI boasts in-house UKAS accredited calibration laboratories for both temperature and humidity as well as an in-house service department."
evoke creative ltd,https://www.restauranttechlive.co.uk/exhibitors/evoke-creative-ltd/,http://www.evoke-creative.com/,"Meet customer expectations with convenience and instant gratification. Our latest self-service devices are designed with the end user in mind, increasing spend and avoiding lost sales.
Our hardware and software are in use 24/7 in over 60 countries. Working with household names as well as emerging forward-thinking brands, we are the leading experts in digital self-service.

Evoke devices are streamlining operations and enhancing experiences in stores all around the world. Maybe you`ve used the self-ordering kiosks we make for McDonald`s, or you have experienced one of our digital devices in JD Sports or Finish Line retail stores, so you`ll know the quality of our design and manufacturing, and the trust that global brands put in our products.

We`ve rolled out over 30,000 self service kiosks to forward thinking businesses worldwide and are the only company providing a complete end-to-end service on a suite of innovative products.

It`s no surprise that some of the world`s most successful businesses are implementing evoke products into their digital strategy. With over 15 years experience of design, manufacture and implementation across all sectors, we form trusted partnerships with our clients that continue to exceed expectations."
First Payment Merchant Services,https://www.restauranttechlive.co.uk/exhibitors/first-payment-merchant-services/,https://www.firstpaymentmerchantservices.co.uk/,"We provide complete payment solutions for your business through innovation. Our services include card terminals, EPOS and funding to businesses throughout the UK. Our Managing Director having worked in the industry for 28 years saw a gap in the market where the quality of service, reduced costs and customer focused being at the forefront of the business model. We understand the needs and difficulties of running a business in 2019 and are able to offer additional services for business owners. These include funding with the use of merchant cash advances and integrated electronic point of sale systems. These are generally used by larger providers, but we have opened them up to smaller businesses.

We are active in all major developments in the payment technology sectors including Ecommerce and Electronic Point of Sale (EPOS) and offer innovative payment solutions. In an ever increasing cashless society we have developed solutions and platforms that use the technologies in every smartphone to connect consumers with mobile-optimised content and commerce direct from physical objects"
Freachly,https://www.restauranttechlive.co.uk/exhibitors/freachly/,https://freachly.de/index_new.html,"Freachly is the leading digital marketing platform for local merchants in Europe. Business owners are given the opportunity to showcase their business to potential customers via different digital services: Influencer Marketing, Social Media Account Management, Photographers Network and Freachly360 (content distribution tool).
Through Freachly, businesses achieve higher recognition on social media and rating platforms and therefore reach new customers, increase retention and the loyalty of existing clients.

Currently, 1000+ local businesses in Austria, Germany, Israel, and the UK rely on Freachly to generate agency-like marketing content and distribute it to their target group via social-media and rating platforms.

Freachly`s client base includes Wild Rice, Swingers, Rococo, Grand, Sanderson London, Buddha-Bar. Freachly is headquartered in Berlin and has operating offices in Hamburg, Frankfurt, Cologne, Munich, Vienna, and London."
FSB,https://www.restauranttechlive.co.uk/exhibitors/fsb/,https://www.fsb.org.uk/,"As experts in business, we offer our members a wide range of vital business services including advice, financial expertise, support and a powerful voice in government. Our mission is to help smaller businesses achieve their ambitions.

Established over 40 years ago to help our members succeed in business, we are a non-profit making organisation that’s run by members, for members.

Members get an exclusive package of great value business services including advice, financial products and support. These cover a wide range of benefits such as tax, legal and HR, local network groups and business banking.

We don’t only deliver membership benefits, FSB is also the UK’s leading campaigning pressure group that promotes the interests of businesses in the UK. Our lobbying arm is led by the Westminster Press and Parliamentary office with key Press and Parliamentary offices in Glasgow, Cardiff and Belfast to lobby the devolved assemblies. Our team works alongside regional agencies to further influence at a regional level."
Get Tasty ï¿½,https://www.restauranttechlive.co.uk/exhibitors/get-tasty/,https://www.gettasty.co.uk/,"Right now, your business profile is on our platform waiting for its time to shine. Take advantage of our Free Essentials plan to manage your venues on Get Tasty. Upload your digital menu, enhance your profile, toggle on and off the tools you need.

Use Get Tasty to facilitate your mobile payments and digital ordering. Our unique platform enables you to manage all orders from your website, own branded web app, and the Get Tasty marketplace. Offer your customers consistency when ordering between your website, order and pay at table or click and collect.

- Venue management

Show customers what you have to offer! List open hours, entertainment schedules and facilities.
Hint: they like happy hour.

Customer journey data

- Own customer data from end to end on every user journey. Your customers, your data. Simple as that.

NPS® reviews

-Gather genuine customer feedback at service and dish level with our NPS® review system. Pinpoint areas for improvement."
Glug App,https://www.restauranttechlive.co.uk/exhibitors/glug-app/,https://www.glug.live/,"We are the social ordering app that allows for customers to find venues, browse menus, order & pay with a few taps of their smartphone. We live and work in the industry and we know how hard it is to run a business, our team cuts out the faff and just helps you do you.

Accessible & Affordable
Zero set-up costs, Zero Cancellation fees, Zero risk. Free forever

We have your back
Our Glug support team can have you live in just a few hours & are with you every step of the way.

Increased Orders & Efficiency
No queuing, more orders, less contact. A better customer experience"
GonnaOrder,https://www.restauranttechlive.co.uk/exhibitors/gonnaorder/,http://gonnaorder.com/,"Experience the future of ordering.

An easy to use, digital menu and ordering solution that allows your customers to order and pay via their smartphones.
No mobile app needed.
Table service, delivery and pickup ordering modes included.
No commission costs
No setup costs
No investment costs
Only £19.99 a month"
Goodtill,https://www.restauranttechlive.co.uk/exhibitors/goodtill/,https://thegoodtill.com/,"Goodtill is an iPad based POS system for retail, hospitality, sports and entertainment venues. Our mission is to help businesses deliver brilliant customer experience through easy-to-use software, focussed on speed-of-service."
Goodtill by SumUp,https://www.restauranttechlive.co.uk/exhibitors/goodtill/,https://thegoodtill.com/,"Goodtill is an iPad based POS system for retail, hospitality, sports and entertainment venues. Our mission is to help businesses deliver brilliant customer experience through easy-to-use software, focussed on speed-of-service."
Graphic Kitchen,https://www.restauranttechlive.co.uk/exhibitors/evokeu-ltd/,https://www.graphickitchen.co.uk/,"Graphic Kitchen is a friendly, passionate and creative team of specialists. From our coding wizards and website experts to talented creatives and experienced food stylists and photographers, we're all here to help. We are proud to offer comprehensive, innovative solutions for your branding, website, social strategy and menu design, working hard to create bespoke solutions you'll love. Whether it is your restaurant interior design, website development, menu design and even food photography, we have the skills and creativity to help you stand out with our comprehensive and innovative restaurant marketing solutions.

• We are laser focused and customer obsessed.
• We work endlessly to earn our customers trust.
•Â We stand apart from the average.
• We constantly challenging old thinking.
• We develop exciting functional brands for clients to fall in love with.
• We seek out problems and we solve them.
• We are Graphic Kitchen."
Harri,https://www.restauranttechlive.co.uk/exhibitors/harri/,https://harri.com/,"Harri is a HCM and Workforce Management platform that helps service-driven businesses build, manage, and engage their teams. Interconnecting the entire employee journey, the Workforce Operating System provides integrated solutions for talent acquisition, onboarding, hiring, employment branding, applicant tracking, scheduling, time & attendance, communications, compliance, analytics and much more. With 300+ enterprise customers, Harri is a best-in-class verticalized platform helping organizations to solve labor-related challenges and drive optimal business performance across the globe."
HygieneCheck Limited,https://www.restauranttechlive.co.uk/exhibitors/hygienecheck-limited/,https://mqmconsulting.co.uk/hygienecheck/,"Improve Hygiene Ratings & Food Safety with HygieneCheck

With ever increasing public interest of food hygiene ratings, it is more important than ever to gain and maintain a high food hygiene rating score.

Not only is it a legal* requirement to display your food hygiene rating (*Wales and Northern Ireland), it`s never been easier for people to check hygiene scores using apps such as The Score on the Doors app.

Food hygiene ratings influence over 66% of your customers in their decision to eat at your pub, restaurant, café, hotel or bar (Source: Food Standards Agency Public Attitudes Tracker Survey July 2019).

Environmental Health audits are both often infrequent and unannounced.
The HygieneCheck app allows the set up and management of your own internal food safety
audits, ensuring your site(s) stay compliant, with an auditing schedule that fits your business needs.

Whether a single site owner, or large multi-site operation, achieving and maintaining a level 5 Food Hygiene Rating couldn`t be easier!"
iiko Ltd,https://www.restauranttechlive.co.uk/exhibitors/iiko-profile/,http://iiko.co.uk/,"iiko is an international technology company that offers a cloud-based software platform for F&B businesses of all sizes. Over 30,000 organisations use iiko software, including 400+ multi chain restaurants and some of the leading global brand names.

iiko`s products are based on the software as a service (SaaS) model and sold by subscription. Its products are used in over 29 different countries and 15 languages.

iiko is redefining what POS can mean to F&B businesses and what value they can expect from it - transforming their point of sale to their point of success.

iiko automates virtually every aspect of their operations - increasing speed of service, empowering kitchen management teams, managing staff, optimising stock take and ordering, simplifying cost control, analysing performance, and more.

iiko exists to help F&B businesses thrive and scale through cutting-edge automation and actionable insights.

Operating since 2007, iiko continues to deliver market leading innovations. Its key features includes: an all-in-one front of house to support all service types; real-time inventory management to control wastage and COS in real-time; AI-driven sales forecasting to see ahead and plan effectively; automated purchasing to always have enough stock and prevent over purchasing, and actionable insights in real-time.

iiko`s offices are based in UK, Russia and Dubai and over 300 partners deliver and support iiko products worldwide."
