name,website,actual-website,company-overview
Bio-Therapeutic UK & Ireland,https://www.olympiabeauty.co.uk/online/bio-therapeutic-uk-ireland/,https://bio-therapeutic.online/,"Bio-Therapeutic was founded in Seattle in 1974. Our passion is creating products and equipment that combine technology and traditional skin care into technology accelerated skin care. Almost 50 years of history, 30 patents, dozens of awards, and thousands of happy faces later, we are still going and growing strong as a family owned company."
BLUESKY,https://www.olympiabeauty.co.uk/online/bluesky/,https://blueskycosmetics.co.uk/,"BLUESKY is a global beauty brand bringing high-quality, professional products to nail technicians for 10 years and counting. Our Vegan Friendly and Cruelty-Free gel nail polish formulas care for the natural nail, delivering a high-shine finish and a long-lasting 21+ day manicure."
British Beauty Council,https://www.olympiabeauty.co.uk/online/british-beauty-council/,http://bit.ly/2QYmdiw,"The British Beauty Council was founded to represent the voices, opinions and needs of the British beauty industry – from hairdressing to cosmetics, cosmetic surgery, therapy and spa; in education and training; and from formulation to manufacture, supply, logistics packaging, design, retail and media.
We are a not-for-profit, inclusive organisation that works to engage policy makers and business leaders about the value of British beauty to the national economy, and its key role in the UK’s creative and cultural character.
Our ambition is to ensure that the beauty industry is recognised and valued at all levels of government, throughout the wider economy and by consumers, as well as supporting a successful, innovative and inclusive British beauty industry."
Candle Spa,https://www.olympiabeauty.co.uk/online/candle-spa/,https://www.candlespa.biz/,"About Candle Spa Ltd
As usual the best ideas are simple. Our aim in creating Candle Spa was to give consumers natural Soy Wax candles which provided them with an everyday spa feeling of relaxation and enjoyment. In the beginning, a desire to replicate the feeling of a spa experience through fragrance and light, led to the creation of our ‘Everyday’ range of fragrance candles which are produced in tin containers."
Celluma Light Therapy,https://www.olympiabeauty.co.uk/online/celluma-light-therapy/,https://www.celluma.com,"Celluma Light Therapy is an award-winning series of FDA-cleared and medically CE-Marked LED devices for the treatment of skin, muscle, and joint conditions including acne, wrinkles, pain and wound healing. Unique in design and globally recognized as the leading LED device in the world, Celluma is an affordable, portable, stand-free, hands-free, and multi-functional game changer. Celluma recently introduced the first ever battery-powered professional grade LED devices allowing you to perform your treatments anywhere without the necessity of a wall outlet. Ideal as stand-alone acne or anti-aging treatment, or as an add-on modality following micro-needling, microdermabrasion, surgery, LASER, peels and much more."
CEW UK,https://www.olympiabeauty.co.uk/online/cew-uk/,https://cewuk.co.uk/,"Founded in 1992 in the United Kingdom, CEW is a global membership organisation with more than 10,500 individual members worldwide who share a singular passion; the beauty industry. Our membership represents a cross-section of the entire industry including brands, retailers, media, investors, formulators, manufacturing, recruitment, packaging, legal and data insight companies, ensuring that CEW is able to connect, inform and support the entire membership in their particular fields."
City & Guilds,https://www.olympiabeauty.co.uk/online/city-guilds/,https://www.cityandguilds.com,"We are a global leader in skills development, providing services to training providers, employers, and trainees across a variety of sectors to meet the needs of today’s workplace. Our qualifications and apprenticeships are valued by employers across the world, helping individuals develop their talents and abilities for career progression.
We have specialist teams in areas such as consultancy and learning design, eLearning development, assessment, in-house training accreditation, qualifications and learning platforms.
We believe that by working in partnership with our customers we can fulfill our purpose and offer support and solutions to meet the key challenges faced by colleges and training providers.
At City & Guilds we are committed to helping learners into a job, develop on the job and move into the next job."
CNM College of Naturopathic Medicine,https://www.olympiabeauty.co.uk/online/cnm-college-of-naturopathic-medicine/,https://www.naturopathy-uk.com,CNM brings its leading natural health training concept to Olympia Beauty.
CNM Health Coach,https://www.olympiabeauty.co.uk/online/cnm-health-coach/,https://www.thehealthcoach.com/,"The CNM Health Coach Training is designed to meet the increasing demand from clients and health professionals. CNM Health Coaches are trained in nutrition and health, fitness and exercise, how the body works, coaching, marketing and business promotion."
CNM Short Courses,https://www.olympiabeauty.co.uk/online/cnm-short-courses/,https://www.naturopathy-uk.com/product-category/short-courses/,The CNM College of Naturopathic Medicine is UK’s No.1 training provider in Natural therapies.
Coolherbals,https://www.olympiabeauty.co.uk/online/coolherbals/,https://coolherbals.co.uk/shop/coolherbals-24-carat-gold-facial-kit/,"Coolherbals manufacturers innovative natural health and beauty products, using eastern and western herbs.
Treatments therapists can offer are The Coolherbals 24K Gold facial -a luxury facial, Red Wine facial an anti-aging favourite facial, the Chakra balancing facial, CoolSlim Slimming Body Wraps, Dermal Roller Facial, Ayurvedic Herbal Ball and Dry Powder Slimming Massages and other various Ayurvedic Massages and treatments."
Cosmaesthetics UK,https://www.olympiabeauty.co.uk/online/cosmaesthetics-uk/,https://www.cosmaesthetics.co.uk,DO YOU WANT TO BECOME A QUALIFIED MICROBLADING ARTIST?!
Eldora False Eyelashes,https://www.olympiabeauty.co.uk/online/eldora-false-eyelashes/,https://eldora.co.uk/,"Welcome to Eldora lashes. At Eldora, ethical product is priority and all products are animal cruelty free. Transform your day and night look with our range of essential false eyelashes. From multi layered styles for ultra-glam on your Saturday night out to individual lashes for everyday wear that can take you straight through from work to the bar. We believe our extensive range of products means that every lash lover will be able to find a pair that they can’t live without. Who knows, we may even get a few lash converts. At Eldora we “love eyelashes and all things creative”.
Stay graceful with our comfortable, durable, never-bulky lash bands.
High-performance false eyelashes and accessories to master your gorgeous glam or larger-than-life creations.
We offer a discount to professional working make up artists and self-taught make-up artists. There are many perks to signing up the Eldora Professional account."
Eldora Skin,https://www.olympiabeauty.co.uk/online/eldora-skin/,https://eldora.co.uk/collections/skin,"Eldora ProHydrate revives tired eyes so you can make the most out of your lush lashes. Under eye hydrogel patches are a K-beauty staple, and they’re absolutely vital if you’re a regular makeup wearer."
En Vogue UK,https://www.olympiabeauty.co.uk/online/en-vogue-uk/,https://www.nailandbeautynetwork.com/product-category/shopbybrand/en-vogue/,"en Vogue Sculptured Nail Systems was incorporated in 1996 by a team of qualified
and experienced industry experts. The en Vogue brand was created for serious minded nail technicians who want to be on the cutting edge of technology and application of advanced techniques."
EPN Pen,https://www.olympiabeauty.co.uk/online/epn-pen/,https://lynton.co.uk/,Introducing the world’s first Electroporation and Collagen Induction Therapy device the EPN PEN!
Famous Names,https://www.olympiabeauty.co.uk/online/famous-names/,https://louellabelle.co.uk,Famous Names brings you the next generation of award-winning nail products. Highly acclaimed nail industry experts and Famous Names founders Jim and Linda Nordstrom introduce the ‘best in class’ nail products to nail professionals worldwide.
Federation of Holistic Therapists (FHT),https://www.olympiabeauty.co.uk/online/federation-of-holistic-therapists-fht/,https://www.fht.org.uk,"Established in 1962, FHT is the largest professional association for complementary, holistic beauty and sports therapists, as well as those starting out or teaching in this exciting and growing industry. We provide practical support to our members and protect the public’s health by ensuring high standards in both training and practice."
flirties,https://www.olympiabeauty.co.uk/online/flirties/,Http://Www.flirties.co.uk,"As one of the most renown training providers and suppliers of high quality and innovative products into the professional Beauty sector we are proud to take part in the virtual OlympiaBeauty Exhibition.
Our ranges include our award winning lash range, brow enhancements, Nail extensions and enhancements and a full range of wax for hair removal including aftercare, accessories and marketing materials. Sample packs are also available and you can get a 10% discount with OLYMPIA10 in addition to volume discounts and other promotions on our website"
Footlogix,https://www.olympiabeauty.co.uk/online/footlogix/,https://louellabelle.co.uk,"Footlogix® is the world’s first and only Pediceutical® foot care line offering innovative products that provide effective and transformational results. Footlogix® empowers professionals with the ability to elevate pedicures to a new standard of excellence. Products are easy to use, highly concentrated and cost effective. Footlogix® is committed to ongoing support through superior educational services. The Footlogix® home care range provides fast and effective results for continuing use at home. Our unique products are lightweight, non-occlusive and easy to apply—leaving no greasy residue. Through our proprietary Dermal Infusion Technology®(DIT) active ingredients are carried into all the layers of the epidermis, helping to restore it to a healthy state."
Georgie Smedley Group,https://www.olympiabeauty.co.uk/online/georgie-smedley-group/,https://www.gsgroupuk.com,"Georgie Smedley Group is proud to be the official UK distributors of Gelish Gel Polish, AeroPuffing Nail Art, Lash eXtend Lashes & Brows & All That Jazz Manicure.
With over 25 years’ experience, Georgie is passionate about products and education that are supplied to the industry, ensuring that all her brands are top quality and her educators deliver the most up to date and extensive knowledge."
Glitter Body Art Ltd,https://www.olympiabeauty.co.uk/online/glitter-body-art-ltd/,https://www.temporarytattoostore.co.uk/,"Glitter Body Art are a Professional Glitter Company supplying colleges, salon owners, nail technicians, beauty therapists and hairdressers with beautiful and affordable COSMETIC GLITTER and TEMPORARY TATTOO products. Our range of cosmetic glitters include Vegan Friendly Bioglitters, Holographic Glitter Stars and Shapes, Iridescent Glitters and Chunky Festival Glitter Mixes all of which come in varying jars and sizes. Our glitters are suitable for nail art, makeup, body art and festival makeup creations. Our glitter products are perfect for customers who have Glitter Bars at festivals and party planners of Birthday Parties. Add a bit of sparkle to your business this summer!! Wholesale Orders welcome. We are based in South Wales but offer worldwide shipping."
Habia,https://www.olympiabeauty.co.uk/online/habia/,http://www.habia.org,"Habia is recognised by government as the Standard Setting Body (SSB) for the hair, beauty, nails, spa and aesthetic sectors. For more than thirty years we have been developing national standards that form the basis of qualifications across the UK. National Occupational Standards (NOS) specify UK Standards of performance that people are expected to achieve in their work, and the knowledge and skills they need to perform effectively. NOS are developed by Standard Setting organisations who consult with employers and stakeholders, the result is a set of NOS that are suitable for use across the UK."
Hair & Beauty Charity,https://www.olympiabeauty.co.uk/online/hair-beauty-charity/,https://www.hairandbeautycharity.org/,"Hair and Beauty Charity is dedicated to helping hair and beauty professionals in need. With roots going back to 1836, the official industry charity offers financial support to individuals and their families facing difficult times due to unforeseen circumstances such as illness, bereavement and financial hardship. The charity’s beneficiaries are supported with regular payments or one-off grants to make their lives a little easier."
Hair and Barber Council,https://www.olympiabeauty.co.uk/online/hair-and-barber-council/,https://haircouncil.org.uk,"Set up by an Act of Parliament in 1964, the Hair and Barber Council enables hairdressers to apply to become State Registered. But while state registration is mandatory for many professions, hairdressers can register voluntarily. The Hair and Barber Council has two main aims: firstly to increase the number of hairdressers who join the UK Register of Qualified Hairdressers on a voluntary basis.
Our other key objective is to bring about a parliamentary debate followed by a statutory change so that all practicing hairdressers will need to be registered in order to work in the UK."
hairFED,https://www.olympiabeauty.co.uk/online/hairfed/,https://www.hairfed.com/,The hairFED sit with the MHFED as the chair for both Hairdressing and Barbering with City&Guilds of London as our official partner.
Hampson Beauty Supplies,https://www.olympiabeauty.co.uk/online/hampson-beauty-supplies/,https://www.hampsonbeautysupplies.co.uk/,"Hampson Beauty Supplies offers competitively priced beauty products for salons, sole traders and consumers. From nail kits to salon essentials, we’ll have you covered. We also offer a range of PPE to help protect your staff and your customers. All stock is available to purchase 24/7 from our online store with FREE delivery on orders over £100."
Hampson Training Academy,https://www.olympiabeauty.co.uk/online/hampson-training-academy/,https://www.hampsontrainingacademy.co.uk/,"Our CPD accredited academy provides beauty technicians with top-level training that will give them the skills they need to start or advance their careers. Whether you are looking to dip your toe in with an entry-level course or require something more advanced, we’ll be sure to have the course for you. Each course goes beyond just the treatments themselves and will cover first aid, health and safety, hygiene, anatomy and physiology. We offer courses that are both in-person at our academies in Kent or streamed via a live interactive classroom through Zoom with an experienced tutor."
handolly,https://www.olympiabeauty.co.uk/online/handolly/,https://www.handolly.co.uk/,"Handolly.co.uk brings you a unique nail lock practice hand! An actual copy of a real hand with no glue needed ever you simply tip or form on our slide lock base nails. Made from platinum medical grade silicone, In a range of 5 skin-tones, With posable or flexible fingers, a selection of stands, arms and accessories for taking perfect marketing images and giving you the most life like training experience. We offer student packages and bulk discounts, The perfect solution for distance learning."
HD Brows,https://www.olympiabeauty.co.uk/online/hd-brows/,https://hdbrows.com/training/brow-conversion-courses/?utm_source=affliates&utm_medium=referral&utm_campaign=pr_campaign&utm_content=olympia_beauty_virtual_event_referral_browsculpt_conversion,"It all began with their signature HD Brows treatment. For the last 10 years, thousands of stylists have trained with them and joined their quest for bespoke brows for all. Their passion for brows helped us to transform the salon brow industry, so it’s no wonder they became the UK’s no 1 salon brow brand."
High Lash Couture,https://www.olympiabeauty.co.uk/online/high-lash-couture/,HTTPS://www.highlashcouture.co.uk,High Lash Couture are the leaders when it comes to outstanding quality products.
Hypnosis-Courses.com,https://www.olympiabeauty.co.uk/online/hypnosis-courses-com/,https://hypnosis-courses.com/our-courses/,"Hypnosis-Courses.com offer a great range of hypnosis and communication training courses and products by Dr Kate Beaven-Marks and Rory Z Fulcher, two of the most prominent hypnosis trainers in the UK. Whether you would like to become a hypnotherapist, use hypnotherapy alongside or together with an existing therapy, or simply add a few techniques and skills to your repertoire, we have a superb range of courses for you. From short CPD and development courses, with great videos and comprehensive manuals, all the way through to our Live Online Hypnotherapy Certification course, taking you all the way up to being a confident and effective practitioner with internationally-recognised certification. If you are more focused on being able to communicate more effectively, whether at work or during everyday life, you will discover that anyone can learn how to use hypnotic language skills to help persuade and positively influence, whether online or in-person."
IKON.IQ PRIMA anti-allergy gel polish,https://www.olympiabeauty.co.uk/online/ikon-iq-prima-anti-allergy-gel-polish/,https://ikoniqnails.com/eu/shop/prima-gel-polish.html,"After six years of development, IKON.IQ has finally created the first true hypoallergenic gel polish system that applies in one coat, is ideal for nail art and wears beautifully for +30 days."
INK London,https://www.olympiabeauty.co.uk/online/ink-london/,http://www.inknails.com,"Welcome to INK London! We are delighted to present a select range of beauty products designed to not only be of the highest quality ensuring a level or performance second to NONE, but also at prices that will leave you smiling."
Intermed Clinical,https://www.olympiabeauty.co.uk/online/intermed-clinical/,https://intermed-clinical.co.uk,"CIBTAC ENDORSED CORE OF KNOWLEDGE, IPL/LASER & TATTOO REMOVAL TRAINING
Providing Laser Aesthetic treatments to the general public is not something to be taken lightly – all laser and IPL users have a “duty of care” to their clients and colleagues under Health and Safety legislation. Quite rightly, clients expect their treatments to be safe and also wish for successful outcomes. You need to be properly trained to use your equipment safely and successfully and also need to comply with local and national guidelines. Intermed Clinical Ltd was founded in 2004 by a small team with vast experience of medical lasers dating back to the 1980’s. We provide our courses to a wide range of manufacturers, suppliers, clinics and salons nationwide."
iTEC,https://www.olympiabeauty.co.uk/online/itec/,https://www.itecworld.co.uk/,"iTEC has a close working partnership with over 650 approved centres worldwide and has offices in the U.K., South Africa and Asia Pacific and representation in Ireland and the United States of America. iTEC offers centres and learners high-quality, regulated qualifications for employability, specialist subjects and skills enhancement. The iTEC portfolio includes qualifications in beauty and spa therapy, complementary therapies, sports and fitness, hairdressing and customer service sectors."
KB Pro,https://www.olympiabeauty.co.uk/online/kb-pro/,https://www.kbpro.com/,"K.B Pro is the Home of Permanent Makeup! Founded by elite artist and entrepreneur, Karen Betts, K.B Pro is the UK’s largest Microblading and Digital Permanent Makeup training provider, delivering comprehensive, professional training for over 20 years, to more than 4,500 students. Our award-winning training offers a full suite of courses from entry-level training to advanced artistry, as well as medical tattooing masterclasses, delivered both online and in our nationwide academies. Created by professionals for professionals, K.B Pro have a large portfolio of innovative permanent makeup products including the first ever, exclusive range of customisable microblading Glider hand tools and true-to-colour intermixable pigments."
KG Professional,https://www.olympiabeauty.co.uk/online/kg-professional/,https://www.kgprofessional.com,"KG Professional is a beauty training academy across the UK and product range that specialise in eyelash extensions. Our products include the finest premium lash trays, adhesives and other accessories that are sold to salons and lash artists in the UK and worldwide."
Kiara Sky Professional Nails,https://www.olympiabeauty.co.uk/online/kiara-sky-professional-nails/,https://www.kiarasky.co.uk,"Kiara Sky Professional Nails has been heating up California’s central valley for over 15 years with our hot and trendy colors! Passionate about color and overall stunning nails, we strive to bring new and improved products to the nail industry. We understand the importance of providing easy-to-use, quality products to all the nail artist of the world.
Rapid growth has allowed us to expand into our 80,000 square foot production facility and headquarters which runs on love and pride in all we do!
Available worldwide, our products are currently being carried in over 45 countries!
Beauty without cruelty is something we strongly believe in, the only Guinea pigs we test on is our willing team of staff."
L’Atelier Green Paris,https://www.olympiabeauty.co.uk/online/latelier-green-paris/,https://lateliergreen.com/,"The First Breathable & Plant Based Nail Polish.
Award winning L’ATELIER GREEN nourishes and cares for your nails whilst refusing to compromise on colour!"
Laboratoire L’Esthetic – Paris,https://www.olympiabeauty.co.uk/online/laboratoire-lesthetic-paris/,http://south-west-aesthetics.co.uk/,South West Aesthetics proudly work with Laboratoires L’Esthetic – Paris to introduce their products to the British Market
Lash Perfect Academy,https://www.olympiabeauty.co.uk/online/lash-perfect-academy/,https://lashperfect.co.uk/training,"Looking to add another string to your bow or want to venture onto a new career path? Lash Perfect Academy welcomes all beauty lovers and novices to train with them and become fully qualified lash and brow technicians. Lashes and brows are big business these days, so training as a technician could seriously maximise your earning potential."
Lashfactor,https://www.olympiabeauty.co.uk/online/lashfactor/,https://lashfactor.online/,"The Lashfactor Story
RAPID & NATURAL GROWTH SOLUTION.
Longer, Fuller & Darker Lashes & Brows in JUST 4 week.
We at Lashfactor believe in enhancing natural beauty rather than masking or faking it. Why use eyelash extensions to glorify your look when you can achieve this naturally without the risk of damaging natural hairs.
The use of false lashes has significantly grown in the last decade, and although it does enhance a person’s look – it does so by causing more damage to your natural lashes and your eyelids over time. Lashfactor serum enhances your eyelashes and eyebrows without compromising health. We have the consumer in mind because we are pharmacists.
It took our research team more than three years to develop Lashfactor and we are beyond confident our natural enhancer solution will benefit anyone who tries it."
LCN,https://www.olympiabeauty.co.uk/online/lcn/,https://lcnuk.co.uk/,"LCN – Light Concept Nails has been one of the world’s leading manufacturers of cosmetic nail products for over 30 years now. The success and reputation of Germany’s most popular professional beauty brand is based on a long history of providing exciting, innovative breakthroughs to the world of cosmetic science, all backed up by world class training centres and courses around the globe."
Lipnv No Needle Filler,https://www.olympiabeauty.co.uk/online/lipnv-no-needle-filler/,https://creativebeautyonline.co.uk/collections?category=no-needle-treatments,"Launched in 2019, Lipnv No Needle Filler is THE chosen brand for No Needle Aesthetic Treatments. We train medical professionals and non-medics, level 2 and 3 beauty therapists, nail professionals and semi permanent make up artists. All of our courses are accredited and regulated by CPD. Lipnv as a brand offers Foundation and Conversion training for No Needle Filler as well at No Needle Fat Dissolve, and we offer both online and classroom courses, to cater for every individual. Lipnv No Needle Filler continues to support our students after completing the course, through our No Needle Support Forum closed Facebook group, exclusively for No Needle Practitioners, and posting our practitioners on our Salon Locator, so clients can easily find a practitioner in their area."
London College of Beauty Therapy,https://www.olympiabeauty.co.uk/online/london-college-of-beauty-therapy/,https://www.lcbt.co.uk/aesthetic-practice/level-4-diploma-aesthetic-practice-4/,"LCBT delivers a range of Level 4 Aesthetics Practice qualifications. Designed and developed as modular courses; they are flexible, giving a blended learning approach for ease of access for busy working professionals looking for progressive training that fits in with professional schedules and commitments.
Each course allows you to build your qualifications gradually and in accordance with individual needs. The Level 4 Diploma course is one of the most comprehensive accredited qualifications available to the Medi-spa Sector, and will provide you with an extensive knowledge and understanding of the skin, it’s assessment and the remedial aesthetic practices used in the industry to develop and maintain skin health.
On successful completion of the courses you will achieve a CIBTAC Level 4 Certificate or Diploma in Chemical Peels, Micro needling and/or Blemish Removal, enabling you to work as a qualified Aesthetic Practitioner."
Lycon UK,https://www.olympiabeauty.co.uk/online/lycon-uk/,https://btispa.com/pages/start-with-lycon,"Welcome to Beauty Triangle, award winning beauty supply company and training academy based in London. We are the home and sole-distributor of the prestigious Australian waxing brand LYCON in the UK, and provide fully accredited and unrivalled wax training in London, Birmingham, Manchester, Newcastle and Edinburgh."
Massage World Magazine,https://www.olympiabeauty.co.uk/online/massage-world-magazine/,https://www.massageworld.co.uk/#sthash.7mqY5g6W.dpbs,"Massage World is a quarterly magazine with a national and international audience of massage and bodywork professionals. Established 19 years ago, we are the first independent UK magazine focusing specifically on massage therapy and have a wealth of experience behind us."
MAVEX Switzerland,https://www.olympiabeauty.co.uk/online/mavex-switzerland/,https://mavex.uk/,"MAVEX Switzerland is a professional skincare brand with a focus on active ingredients and visible results. We have three facial ranges that are interchangeable for therapists to create bespoke facials for their clients. MAVEX is also the manufacture of the World’s leading callous removal treatment, Calluspeeling; the only treatment of its kind to have approval as a Medical Device. In addition to facial and foot care we have hand and nail care, as well as beautifully packaged retail items for clients to support their in-salon results at home."
Meraki Professional,https://www.olympiabeauty.co.uk/online/meraki-professional/,https://www.merakiprofessional.ie/,"Meraki Professional was formulated by professional nail technicians who understand the demand for high quality professional products. Developed to the highest standard to ensure longevity, high performance and durable long lasting nails. We have developed products with the nail technician and client in mind, Our high preforming, easy to use products are available in shades to suit every skin tone, length, style and mood! Meraki Professional are fully compliant with all EU regulations to ensure safety for our technicians and clients. Our products go through rigorous testing in the salon and our lab to ensure they are produced the highest standard!
Our passion for excellence has driven us from the beginning, and continues to drive us into the future. The team at Meraki Professional knows that every product counts. We cant wait for you to experience all we have to offer."
Mhfed,https://www.olympiabeauty.co.uk/online/mhfed/,https://www.mhfed.com/,"The Mhfed are a non profit making organisation that work closely with City and Guilds with standards throughout our industry. We specialise in online step by step video resources and deliver City and Guild Accredited Qualifications in Barbering at entry level and advanced level. We have membership for our resources at £50 per annum. This works out to to be 0.96p per week. We are continually adding to our step by step video content and work together with our Hairfed resources for Hairdressing. We specialize in all aspects of Barbering at our Academies along with our CPD courses for Colleges and Salons/Barbershops. ” Helping to Facilitate Hairdressing and Barbering Education-In-House, In-Class and On-Line- Art Teams.”
Adam Sloan
CEO
Mhfed"
Million Dollar Facial,https://www.olympiabeauty.co.uk/online/million-dollar-facial/,https://www.milliondollarfacial.com/,The Million Dollar System is home of the UK’s Fastest Growing Facial Treatment
Mooeys Masters,https://www.olympiabeauty.co.uk/online/mooeys-masters/,https://www.mooeysmasters.co.uk/,"🐮 Waxing Training Courses for all abilities 🐮
🐮 Business Management Programme 🐮
🐮 Cruelty-free, refillable Moo Wax Treatment Range 🐮
🐮 Franchise Opportunities 🐮"
Morgan Taylor,https://www.olympiabeauty.co.uk/online/morgan-taylor/,https://louellabelle.co.uk,"Experience The Morgan Taylor Brand. Morgan Taylor®, the NEW standard in Professional Nail Lacquer, the crème de la crème of nail colour, developed by professionals for you."
Nail & Beauty Network,https://www.olympiabeauty.co.uk/online/nail-beauty-network/,https://www.nailandbeautynetwork.com/,"A family run business ran by professionals for professionals! The Nail & Beauty Network offers non brand biased support, help and guidance to all across our social media groups of 80,000 worldwide professionals (and growing!)."
Nail Buddy,https://www.olympiabeauty.co.uk/online/nail-buddy/,https://nailbuddy.co.uk/,"Compact and portable, Nail Buddy is the perfect way to create flawless nails without the worry of spills or mess."
Nail Order,https://www.olympiabeauty.co.uk/online/nail-order/,https://nailorder.co.uk,Nail Order is a lockdown 1.0 born brand run by salon owners.
NailKnowledge,https://www.olympiabeauty.co.uk/online/nailknowledge/,https://nailknowledge.org/,Teaching essential knowledge to enable you to work safely and ethically
Natural by Nature Oils,https://www.olympiabeauty.co.uk/online/natural-by-nature-oils/,https://www.naturalbynature.co.uk/,"Natural by Nature Oils is a family run business that has been established since 1974. We manufacture and supply high quality Pure & Organic Essential Oils and Aromatherapy products.
We are one of the UKs largest suppliers of essential oils to the Independent health food industry.
We also supply to a large number of Therapists, Practitioners, Spas, Salons and Hairdressers. We work closely with a number of NHS hospitals and hospices developing specially blended oils that are used within their cancer care units.
We manufacture our products in our own UK factory, allowing us to control the entire process, ensuring all products leave us in perfect condition.
All our products are cruelty free and we are certified by Cruelty Free International.
We believe in transparency and integrity in all that we do, and are proud that our customers are given complete confidence in all our products."
Naturopath Magazine,https://www.olympiabeauty.co.uk/online/naturopath-magazine/,https://naturopathmagazine.co.uk/,"Naturopath magazine is a publication to inform and educate practitioners, students and people with a general interest in Complementary healthcare."
Nergish Wadia-Austin,https://www.olympiabeauty.co.uk/online/nergish-wadia-austin/,https://hairandbeautyexpert.com,"Nergish Wadia-Austin is an internationally respected business management trainer in the Beauty, Spa, Wellness and Nails sector. Renowned for getting results through the delivery of in person and online training for business owners and business teams. In addition, Nergish provides business coaching services to salon, spa and barbershop owners around the world. Her training courses for beauty therapists and nail technicians result in maximised earnings while delivering exceptional customer service, thereby teaching salon professionals to run their columns as their business. This creates long term customer loyalty which goes a long way to future proofing a business. Details of all her courses, coaching and business services are available on her website www.hairandbeautyexpert.com"
