name,website,actual-website,address,company-overview
Anna Falcke,https://homeandgift.co.uk/exhibitor/anna-falcke,www.annafalcke.com,"Bristol, United Kingdom","Anna Falcke is a small creative British company based in Bristol. Designing a highly regarded range of scarves and accessories. Her locally based sewing team help create very successful collections which she is proud to manufacture in the UK. Anna Falcke’s unique, especially pleated range for men, women and children are eye catching and practical. They are warm, super soft and in an array of colours, ideal for activities both in and outdoors."
An Unexpected Artist,https://homeandgift.co.uk/exhibitor/an-unexpected-artist,www.anunexpectedartist.co.uk,United Kingdom,description
Apold Apothecary,https://homeandgift.co.uk/exhibitor/apold-apothecary,www.apoldapothecary.co.uk,"Warrington, United Kingdom",description
Arran Bay,https://homeandgift.co.uk/exhibitor/arran-bay,arranbay.co.uk,"Prestwick, United Kingdom","Handmade in Scotland using semi precious stones, Arran Bay jewellery draws from the stunning scenery surrounding the West coast of Scotland, with colours reminiscent of blue skies; rugged landscapes and breath-taking sunsets over the island of Arran. Every piece is carefully hand made in the studio by a small group of skilled makers."
Article White,https://homeandgift.co.uk/exhibitor/article-white,www.articlewhite.com,"London, United Kingdom",Article White (A modern fragrant dialogue) : An exploration of British wit and fragrant craftsmanship. Drawing upon modern cultural references to dance the scales of an olfactory alphabet.
Art Nouvocative,https://homeandgift.co.uk/exhibitor/art-nouvocative,www.artnouvocative.com,"Dartford, United Kingdom","Kent based publishers of beautiful & stylish greetings cards, suitable for all occasions. Our love of art & the desire to publish designs a little bit different from the norm has been our aim from the outset. Fabulous new ranges include 'Second Nature' a beautiful collection of hand painted designs by Textile Artist Alice Acreman and 'The Deco Design Collection' a very stylish range for men by Artist & illustrator Janice Daughters. Plus new fun designs suitable for all the family and fabulous summer additions to the best selling collections by former fashion designer Mo Welch, BAFTA award winning & Oscar Nominee designer Shuna Harwood & outstanding Mystical art by Ed Org. Customer testimonial available on the homepage of our website www.artnouvocative.com Printed in the UK on top quality 350gsm FSC accredited card, we offer cello wrapped or naked cards & provide a quick turnaround on all orders. Please contact us for further information and our show offers, we look forward to hearing from you soon"
Art Wow,https://homeandgift.co.uk/exhibitor/art-wow,artwow.co,"London, United Kingdom","Art Wow was established in 2017 by sisters Liz & Laura. We are an online sales platform supporting and promoting emerging artists and designers by selling their beautiful designs on a variety of gifts, homeware and art. We partner with our artists and print their designs on a range of our products and each product sold pays a commission to the artist. All our products are custom hand printed by Liz and her team in our studio just outside London, in Essex. Every product is only printed after it is ordered, so it is 100% custom made for each and every customer."
Ayala Bar,https://homeandgift.co.uk/exhibitor/ayala-bar,www.ayalabar.com,"Staines, United Kingdom","Distributed in the UK and Ireland by Sigal Distribution: 01784 482888 sigal@sigaldistribution.com About the Designer: Ayala's creations draw on over 25 years of experience as a costume jeweler. Today, Ayala is a mature designer, cognizant of the trends in the fashion world but always true to her inner vision. This precious integrity creates the radiance that is Ayala's own signature. Ayala produces two handmade collections a year in the Spring and Fall that are complimentary to current fashion trends and seasonal colors"
A Year of Dates,https://homeandgift.co.uk/exhibitor/a-year-of-dates,www.ayearofdates.co.uk,"Bolton, United Kingdom",description
Bachmann Europe plc,https://homeandgift.co.uk/exhibitor/bachmann-europe-plc,www.bachmann.co.uk,"Hinckley, United Kingdom",description
Bakedin,https://homeandgift.co.uk/exhibitor/bakedin,www.bakedin.co.uk,"Basingstoke, United Kingdom",description
Bao-Med,https://homeandgift.co.uk/exhibitor/bao-med,www.bao-med.co.uk,"Manchester, United Kingdom","The baobab tree is called the tree of life for its almost mythical powers, it provides food, water, shelter and traditional medicine. The Bao-Med products have been developed based on the exceptional care properties of the fruit of the baobab tree. Cold pressing the seeds from the baobab fruit releases an oil that has excellent moisturizing and restorative properties for the skin, scalp and hair. In addition to these seeds, the fruit contains a dry, white powder that is rich in various vitamins and minerals."
Bath House,https://homeandgift.co.uk/exhibitor/bath-house,website,United Kingdom,"British-made, British designed fragrance and natural bodycare made by Bath House in rural Cumbria since 1997. Our exciting Autumn/Winter collections feature our new brand, Barefoot & Beautiful by Bath House, which will be previewed at Harrogate Home & Gift. Hand-poured lip balms, natural wax candles, gentle face masks and relaxing bath soaks make perfect and affordable gifts for Christmas, with our trademark attention to detail and natural sustainable ingredients, all made with love in small batches in our making rooms on the borders of the Lake District and the Yorkshire Dales."
Belly Button Designs Ltd,https://homeandgift.co.uk/exhibitor/belly-button-designs-ltd,www.bellybuttontradeshop.co.uk,"Manchester, United Kingdom","Belly Button Designs is a unique and award-winning British brand based in Manchester celebrating its 25th year in business for offering greeting card collections centred around style and luxury. We’ve pushed printing technique boundaries and added new ranges to give plenty of choice and difference amongst our designs. Be the first to see new greeting collections Wildlings, Electric Dreams and additions to, Number 78, Luxe and Elle - a collection created through an exploratory journey, one focused on illustrating luxury and encapsulating it in a greeting card send with elements of the Belly Button heritage featuring at the core. Our contemporary designs and consistently high 'sell-through' have earned us strong loyalty among leading design-led retailers of all sizes. The Belly Button brand has become an instantly recognisable and a top-selling success story for hundreds of UK and global retailers. 2020, marks new changes to the Belly Button brand as we boldly align giftware with greetings into one. We bring you a giftware collection full of newness, fresh beginnings, and all at an attractive price point to truly reflect that we are a unique British brand offering high-quality gift bags, roll wrap, flat wrap, notebooks and china mugs with the same excellent service. Committed to creating a high-quality product from the heart and with integrity, we take social and environmental impacts into great consideration. Looking to resource and manufacture responsibly, we choose to use FSC® certified paper and boards, biodegradable glitter and compostable bags wherever possible. We are working with retailers and independents to present product naked in a move to reduce plastic, supporting the maturity and growth of our personality and values that embrace diversity in our collections to resonate with a far-reaching and varied audience. Product is sold extensively throughout the UK into card, gift shops and department stores. Ranges are also exported to USA Australia and Europe. We look forward to you joining our success story too!"
Berni Parker Designs,https://homeandgift.co.uk/exhibitor/berni-parker-designs,website,United Kingdom,description
Bertie Girl,https://homeandgift.co.uk/exhibitor/bertie-girl,website,United Kingdom,"Fabulously fun Harris tweed gifts for her, him...... and the dog! At Bertie Girl we produce quirky Harris tweed gifts right here in bonnie Scotland. The quirliest of all is our Harris tweed doggie poo bag dispenser - the perfect gift for your dog loving chums. We also make beautiful jounals, keyrings, purses and home decorations"
Bespoke Aroma,https://homeandgift.co.uk/exhibitor/bespoke-aroma,www.bespokearoma.co.uk,United Kingdom,"Bespoke Aroma, a natural Skincare company, was founded in the Lake District in 2014 by Jo Evans. Jo, an Aromatherapist, was the Spa Manager at the Jetty Spa at the Relais Chateaux hotel The Gilpin. Here she made all the products for the treatments and this then led onto working with other Spas to develop their own bespoke range of natural products. Jo also makes bespoke products for other businesses and therapists and runs skin care making workshops. The products being showcased at Harrogate are Bespoke Aroma's beautiful aromatherapy range of bathing and pamper products and a brand new award winning vegan skincare range, Bespoke Spa."
Best Kept Secrets Ltd,https://homeandgift.co.uk/exhibitor/best-kept-secrets-ltd,www.bestkeptsecrets.co.uk,United Kingdom,"Best Kept Secrets is a family run business making hand made scented gifts, operating from the pretty town of Morpeth in the heart of Northumberland."
Best Years,https://homeandgift.co.uk/exhibitor/best-years,www.bestyears.co.uk,"Daventry, United Kingdom",Huge range of knitted and crochet toys including our iconic knitted dinosaurs and fair trade ranges. New for AW2019 more dinosaurs including Xmas dinosaurs and new fair trade baby toys and rattles Small team with friendly service. All our toys are suitable from birth and machine washable. No minimum order quantity
Betty Hula,https://homeandgift.co.uk/exhibitor/betty-hula,www.bettyhula.co.uk,"Harrogate, United Kingdom","LOOKS STRIKING * FEELS LUSCIOUS * SMELLS GORGEOUS * EYE-CATCHING SHELF SELLER Betty Hula believe in honest, natural beauty. Our products are handmade in the UK using traditional techniques and the finest quality ingredients including Aloe Vera, Frankincense Oil, Shea Butter and Cocoa Butter. Our range is vegan friendly, paraben free and not tested on animals. Our innovative and Award-winning range of natural British made skincare products takes a contemporary twist on traditional recipes and combines stylish, hand-finished mainly vintage glass packaging to bring eye-catching variety and individuality to the skincare and gift market. OUR RANGE INCLUDES: Anti-bacterial hand cream Anti-bacterial hand wash Shea butter body moisturiser Face and body Secret Oil Bath Salts Talc-free body powder Lip balm and polish Stylish gift sets Our award-winning stylish range is laced with delicious and exotic Hawaiian inspired scents. CHAMPAGNE & SPICE This exquisite scent is musky, spicy, sophisticated, sensual and utterly compelling. RUM & BLACKCURRANT inspired by the pacific islands, this scent takes to a sun kissed beach with its sweet fruit holiday aroma. LIME AND MANGO The tropical scent of Hawaii encapsulates this fresh, zesty scent. Perfect for awakening your senses. Our products come in packs of 6 and we don't restrict orders with an MOQ. NEW - CHOICE OF WOODEN DISPLAY STARTER PACKS www.bettyhula.co.uk"
BIDBI,https://homeandgift.co.uk/exhibitor/bidbi,www.bidbi.co.uk,"Sheffield, United Kingdom","At BIDBI we make and print branded cotton canvas bags as an eco-friendly, fairly traded alternative to plastic carrier bags. High quality bags and award winning customer service are at the forefront of everything we do in order to help you maximise your brand. Our 100% natural cotton bags act as a sustainable marketing tool or ethical accessory for your business or event. For over 10 years we have been at the forefront of manufacturing and printing reusable cotton bags. Working with over 30,000 clients around the world ranging from local farm shops, design agencies and premium brands providing bags that will impress your clients or customers. We pride ourselves on delivering high quality printed products with industry leading and expert customer service. We stock a wide range of cotton and jute bags ranging from promotional cotton totes to heavyweight canvas shoppers. There’s a cotton bag to suit every need, whether it’s a promotional bag for an event, a drawstring bag to be used as product packaging, or jute bags that are ideal for storing food and drink. We also stock aprons, t-shirts and tea towels as part of our homewares range. Our products are expertly Printed in the UK using environmentally friendly materials and our products are sourced from a sustainable supply chain that doesn't compromise the welfare of its workers."
Big Metal,https://homeandgift.co.uk/exhibitor/big-metal,website,"London, United Kingdom",description
Black Dragon Crafts,https://homeandgift.co.uk/exhibitor/black-dragon-crafts,www.blackdragon.co.uk,"Carmarthen, United Kingdom",description
Black Sheep Creations,https://homeandgift.co.uk/exhibitor/black-sheep-creations,www.blacksheepcandles.co.uk,"Dukinfield, United Kingdom","ABOUT US Black Sheep Creations began in 2016. My Name Is Joanna and I have a passion for beautifully smelling candles but after being disappointed in the candles on the market to date, I started experimenting with fragrances and wax. I began to realise that the secret to great candles were; beautiful fragrance, a natural wax and a clean burn. Nothing beats the feeling of knowing my customers love my candles just as much as I do, and it’s why I spend so much time and effort perfecting them. All our candles, and reed diffusers are individually hand-poured and finished in my cosy workshop using 100% natural soy wax, cotton wicks and gorgeous fragrances. I chose to work with a natural Soy Wax as this is a natural renewable resource that allows for a cleaner burn, without the emission of toxin, unlike paraffin wax used by many other candle makers, soy wax blends better with all our scents resulting in a clean and longer lasting burn time. Our Style is very sleek and Modern, focusing on two main colours ""Black & White"" for all oue Jars and Boxes. Co found – Jo Matthews"
Black Yak Ltd,https://homeandgift.co.uk/exhibitor/black-yak-ltd,www.blackyak.co.uk,United Kingdom,"Fair Trade business based in England, working with designers here and in Nepal. Eco friendly natural fibres, beautiful woollen hats, gloves and jackets. Handmade Christmas felt decorations."
Blade & Rose,https://homeandgift.co.uk/exhibitor/blade--rose,www.bladeandrose.co.uk,"Kendal, United Kingdom",Blade & Rose is a leading British children’s clothing brand specialising in a trendsetting range of leggings and clothing accessories. 
Bomb Cosmetics,https://homeandgift.co.uk/exhibitor/bomb-cosmetics,www.bombcosmetics.co.uk,"Bournemouth, United Kingdom","At Bomb Cosemtics we carefully select the best ingredients, natural butters, pure essential oils while minimising our packaging as much as possible to ensure our little luxuries don't hurt the planet, and only nourish and care for your skin. We believe that Handmade is best and we place every petal, rosebud and swirl lovingly on each product!"
Bronte by Moon,https://homeandgift.co.uk/exhibitor/bronte-by-moon,www.brontebymoon.co.uk,"Leeds, United Kingdom","‘Bronte by Moon is Abraham Moon & Sons' official lifestyle brand of luxuriate woollen home and fashion accessories including throws, cushions, scarves and wraps, all made at our unique Yorkshire mill. Established 1837, today we are the only remaining 'vertical' wool mill in England. This means we complete every process from design to delivery under one roof; enabling us to work to our own highest standards of quality, keep stock consistent, and craft truly unique designs & colours year after year. New launches at Harrogate Home and Gift Fair 2019 will include our new Naturals Collection Throws in subtle shades of Camel, Slate Grey and off-white yarns, as well as brand new additions to our Fashion Accessory range in the form of luxury Bags and Hats. Visit us at the stand for a special show offer!’."
Bumblewrap,https://homeandgift.co.uk/exhibitor/bumblewrap,website,"York, United Kingdom",description
BÃ¼rstenhaus Redecker GmbH,https://homeandgift.co.uk/exhibitor/brstenhaus-redecker-gmbh,website,"Versmold, Germany",description
By Eloise,https://homeandgift.co.uk/exhibitor/by-eloise-3d41a07f,byeloiselondon.com,"Farnborough, United Kingdom","byEloise was founded in London in 2014. It all started with the search for a hair tie that would look and feel great and last long. We couldn't find it! That's when we developed our Bangle Bands, and we are pretty pleased with the result. We are on a mission to convert an everyday essential into a fashion accessory. In your hair or on your wrist, byEloise bangle bands are made to shine for the occasion. Our bangle bands come in a variety of fashionable colours and styles. Forget about flimsy hair ties that break or lost their stretch - we never compromise on quality and function. Every season we add new, unique styles to our collection, but we always have a selection of timeless classics. At the end of 2019 we launched the ""Two Ways to Bangle"" collection. It is a collection of 15 different combinations in sets of 2 and 3 bangle bands. All of the packaging is made with FCS-certified paper and is 100% climate neutral. We use our Instagram @byeloise_london to inspire our customers, to show various combinations and styles, and to show new products. We have over 7,000 followers #byeloise #banglebands"
By Erin Ltd,https://homeandgift.co.uk/exhibitor/by-erin-ltd,www.byerinwholesale.co.uk,"Darwen, United Kingdom",description
by Molly&Izzie,https://homeandgift.co.uk/exhibitor/by-mollyizzie,www.mollyandizziewholesale.co.uk,"Carlisle, United Kingdom","by Molly&Izzie was established in 2016 by Sarah. From humble beginnings on her dining table, we now have a studio with 9 staff members who produce each of our peices by hand. All of our products are produced in house in our Cumbria Studio using high quality materials, where possible sourced locally. Our creative team are constantly adding new products to ensure that our ranges stay current and in demand. All of our design led products offer a sense of cohesion across a varied range of price points. Our range of bracelets, necklaces and earrings are individually presented in luxury white gift boxes. Each gift box has a window making them ideal for displaying and are small enough to ship as large letters. We also offer a choice of high quality, branded display solutions to compliment our products. We offer low minimum order quantities and offer carriage paid on orders over £200. Going Green Alongside our standard ranges of products we also offer an eco range which is fully recyclable and plastic free and all of our wish bracelets and stretch bracelets are available 'naked' and plastic free on request. Bespoke Products We love to work with companies large and small to create bespoke versions of our products. This service is available totally free of charge and with very low minimum quantities."
Cadeaux,https://homeandgift.co.uk/exhibitor/cadeaux,www.cadeauxpaperworks.com,"Droitwich, United Kingdom",description
Cadeaux Paperworks Ltd,https://homeandgift.co.uk/exhibitor/cadeaux-paperworks-ltd,website,address,description
Cairndale Labelling Systems,https://homeandgift.co.uk/exhibitor/cairndale-labelling-systems,www.cairndale.com,United Kingdom,description
Candyhouse Ltd,https://homeandgift.co.uk/exhibitor/candyhouse-ltd,website,"Bath, United Kingdom","Welcome to Candyhouse! We have an exciting range of confectionery to suit all taste buds! From seasonal Christmas, Valentines & Easter lines , to all year round favourites, come and find some tasty ideas! Our cocktail mocktails & gin ranges are flying out, we have some new flavours and messages this season. We also have also gelatine / gluten & sugar free options in the range, plus all the traditional favourites too! Bespoke labels can also be created, but please give us plenty of time! Our customers include Liberty of London, Selfridges, The Conran Shop, The Wellcome Collection, English Heritage, The Florence Nightingale Museum, Freud Museum, The Science Gallery, and many many more."
Captain Fawcett,https://homeandgift.co.uk/exhibitor/captain-fawcett,www.captainfawcett.com,United Kingdom,"In 1905 Captain Peabody Fawcett R.N Ret’d, the intrepid and eminent Edwardian explorer, disappeared whilst attempting to navigate to the source of the Ubangi, a major tributary to the Congo River. No trace was ever found of his seemingly doomed expedition... until that is, in 1997, an old battered trunk purchased at a house clearance sale, was taken home and its locks forced. Incredibly, amongst its decaying and mildewed contents was found an exquisite dressing case containing salves, unguents, ointments and the missing adventurers long lost journals. Scattered amongst the many tales of hardship, derring do and wonders seen, where one was expected to “keep a stiff upper lip, regardless”, were found meticulously detailed lists of exotic ingredients for use in the Captain’s very own grooming requisites. These precise formulae have been faithfully followed and Fawcett’s original potions, along with his world renowned Moustache Wax are now available to the discerning gentleman for the first time in over a century."
Captivate Brands Ltd,https://homeandgift.co.uk/exhibitor/captivate-brands-ltd,www.captivatebrands.com,"Evesham, United Kingdom",description
Caroline Gardner Publishing,https://homeandgift.co.uk/exhibitor/caroline-gardner-publishing,www.carolinegardner.com,"London, United Kingdom","Caroline's quirky yet sophisticated designs are brought to life in her wonderful gift lines including gifts for the home, gift accessories and stationery, along with wrapping paper, gift bags and cards. We are really excited to launch our AW20 range at Home & Gift Virtual. We have lots of fantastic new gift lines designed into 4 stories; Live Well, Dare to Dream, The Brightside and Be Kind. This season we have rich velvets, a pretty monochrome polka dot and rainbows adorning the gifts, for a sneak preview take a look at our product categories. For the full launch will be showing all the lovely products in our AW20 video, so please do register to see this on the 20th July, at 11:30. We will also be talking through our 4 new card ranges. We have Positive Notes, Rainbow Burst, Mix up and Hole Punch. They are colourful, thoughtful, sentimental and jolly. Last but not least we have our Christmas range to present, this year we have carried on environmental pledge and launched the new eco pouch and eco glitter!"
Carrie Elspeth Ltd,https://homeandgift.co.uk/exhibitor/carrie-elspeth-ltd,www.carrieelspeth.co.uk,"Cardiff, United Kingdom","Carrie Elspeth are delighted to be celebrating 20 years of trading this year. The established Welsh brand has created another on trend collection which is all lovingly handmade in Wales, and ticks all the boxes for the coming season. Still proudly producing amazing, affordable and quality designs in the UK, Carrie Elspeth’s autumn range has something to make your customers happy whatever the occasion. Get in touch now for your full-colour catalogue. Our team at the studio offer exceptional level of customer service with quick turnaround on orders, supported by fabulous packaging and point-of-sale material."
Cavendish French Ltd,https://homeandgift.co.uk/exhibitor/cavendish-french-ltd,www.cavendishfrench.com,"Leatherhead, United Kingdom","We offer a unique collection of contemporary sterling silver and stone set jewellery. With creative styling and craftsmanship from around the World, our classic plain pieces celebrate the grace and elegant of silver with stunning quality and detailed designs. We also have a collection of bold and elegant designs, handcrafted in copper. Our micro pave silver and cubic zirconia range offers wonderful sparkling replicas of fine diamond jewellery but without the price tag, making it affordable to everyone. With designs from classic and elegant to Red Carpet glamour and glitz. Take a look at our beautiful Celestial Collection; handcrafted jewellery, lovingly designed in silver, rose gold and with free dancing CZs."
CHALK UK Ltd,https://homeandgift.co.uk/exhibitor/chalk-uk-ltd,www.chalkuk.com,"Ramsgate, United Kingdom","Offering a capsule range of UK designed, made and finished clothing, homeware and lifestyle products. Our search for perfect clothing and lifestyle products led us to manufacture our own products, predominantly made in England. We have a passion for lovely things. Classic colours, lovely textures, good quality fabrics and great design are all central to our ethos. We bring together the finest materials and stunning design to create great products."
Character Shop,https://homeandgift.co.uk/exhibitor/character-shop,www.charactershop.co.uk,"Sheffield, United Kingdom","We will be displaying our full range of dialect and regional giftware, including mugs, coasters, bags and tea towels. We will also be displaying for the first time our new Yorkshire range, ""the comical guide to Yorkshire dialect"""
Chris Lewis,https://homeandgift.co.uk/exhibitor/chris-lewis,website,Mexico,description
Compton & Clarke,https://homeandgift.co.uk/exhibitor/compton--clarke,www.comptonandclarketrade.co.uk,"Norwich, United Kingdom","An English based gift company with a product portfolio that comprises contemporary pewter gifts with a bias towards thoughtfulness and sentiment. Our individual carded or lose charms retail from £2 upwards and are an ideal till point pickup line for incremental sales. We also sell a comprehensive collection of keyring with nature being our source of inspiration along with trinket dishes, posh fridge magnets, bags of themed pocket charms and pin brooches. Most of our products are proudly made in England but we are also the European distributors for the American Vilmain pewter gift brand. Typically supplying gift shops, mail order companies and visitor attractions, bespoke commissions are also welcome for your own branding and corporate events. With our manufacturing being based in the UK, we can offer flexibility, short lead times and small order quantities and can confidently say that we have one of the finest model makers in the country on board. An English based gift company with a product portfolio that comprises contemporary pewter gifts with a bias towards thoughtfulness and sentiment. Our individual carded or lose charms retail from £2 upwards and are an ideal till point pickup line for incremental sales. We also sell a comprehensive collection of keyring with nature being our source of inspiration along with trinket dishes, posh fridge magnets, bags of themed pocket charms and pin brooches. Most of our products are proudly made in England but we are also the European distributors for the American Vilmain pewter gift brand. Typically supplying gift shops, mail order companies and visitor attractions, bespoke commissions are also welcome for your own branding and corporate events. With our manufacturing being based in the UK, we can offer flexibility, short lead times and small order quantities and can confidently say that we have one of the finest model makers in the country on board."
Coulson Macleod,https://homeandgift.co.uk/exhibitor/coulson-macleod,www.coulsonmacleod.com,"Kettering, United Kingdom",Looking for something a little bit different? Then you'll love Coulson Macleod's huge range of greeting cards • fold-out cards • prints • gifts • and notebooks. Follow us on Instagram: @coulsonmacleod Est. 2009 by Mark Coulson & Hannah Macleod • now a small creative team of six working from a studio in Northamptonshire.
Country Creation,https://homeandgift.co.uk/exhibitor/country-creation,www.countrycreation.co.uk,"Ipswich, United Kingdom",description
Crystal World,https://homeandgift.co.uk/exhibitor/crystal-world,crystalworlduk.com,"Hove, United Kingdom","We are an importer, distributor, wholesaler and manufacturer of glass, crystals, giftware, jewellery and much, much more. From individual hand made products to merchandiser packs we have a fantastic range that will supply you and your business with all your needs. We are based in Hove - East Sussex - UK and have been established since 1992. Our huge customer base includes wholesalers, gift shops, jewellery shops, card shops, department stores, furniture stores, florists etc. etc. All our products are of the best quality that is available in the market place and comes with a money back guarantee."
Cycle of Good,https://homeandgift.co.uk/exhibitor/cycle-of-good,www.cycleofgood.com,"Stoke-on-Trent, United Kingdom",Cycle of Good is home to the famous Elephant Bike and also produces quality goods handcrafted in Malawi using locally printed cloth and recycled materials like your old bicycle inner tubes and coffee sacks. We train tailors in the world’s poorest places so they can earn a decent living and support their families. All the income generated pays for childcare and non-profit social enterprise in Malawi. It’s why it’s called the Cycle of Good!
Cycle of Good,https://homeandgift.co.uk/exhibitor/cycle-of-good,www.cycleofgood.com,"Stoke-on-Trent, United Kingdom",Cycle of Good is home to the famous Elephant Bike and also produces quality goods handcrafted in Malawi using locally printed cloth and recycled materials like your old bicycle inner tubes and coffee sacks. We train tailors in the world’s poorest places so they can earn a decent living and support their families. All the income generated pays for childcare and non-profit social enterprise in Malawi. It’s why it’s called the Cycle of Good!
Daisycat,https://homeandgift.co.uk/exhibitor/daisycat,www.daisycat.co.uk,"Nottingham, United Kingdom","Daisycat cards are printed and hand finished at my home studio in Nottingham, UK. Daisycat was born out of a lifelong love of cards and the tradition of sending them. For me, a carefully chosen card arriving in the post with a handwritten message from a loved one, really makes my day. I tend to keep my most favourite cards and messages rather than throw them away and with this sentiment in mind many of the cards come with a little something to keep long after the ocassion. The most popular range comes with decorative wooden keepsakes which can be used as keyrings, gift tags, or hung on the Christmas tree. Chidren may even like to paint or decorate the shapes. Other card ranges come with seeds to sow or wooden magnets I take inspiration from pattern, colour, vintage, retro and nature, and also from my daughter Daisy and her wonderful imagination, her love of animals, birds, flowers, polka dots, buttons and googly eyes. I hope you enjoy our work and it makes you smile"
Dandelion Stationery,https://homeandgift.co.uk/exhibitor/dandelion-stationery,www.dandelionstationery.co.uk,"Derbyshire, United Kingdom","Dandelion Stationery offers contemporary paper goods consisting of greetings cards, gift wrap, jotter pads, notebooks, postcards & more. You’ll find on-trend designs combined with heartfelt words and sentiments & the occasional splash of humour. With over 12 collections to choose from there is something for everyone. Cards are printed onto luxury FSC board & are supplied with coordinating envelopes made from recycled paper. All cards are blank inside & supplied individually cello wrapped. Products are available to order online. Henries finalist 2014, 2015 & 2017 and Henries WINNER 2016 & 2019"
Danielle Exclusive Creations Ltd,https://homeandgift.co.uk/exhibitor/danielle-exclusive-creations-ltd,website,"London, United Kingdom",description
Dartington Crystal Ltd,https://homeandgift.co.uk/exhibitor/dartington-crystal-ltd,www.dartington.co.uk,"Torrington, United Kingdom","We offer a host of great choices in gifts and tabletop for every occasion and at very competitive prices. A simple and contemporary design style plus a reliable UK based supply and service capability makes Dartington a favourite choice for many. Dartington also offers the renowned Caithness Glass paperweights and artglass, plus the Royal Brierley cut crystal collection. The portfolio of famous British names is completed with the John Beswick collection of hand-painted ceramic sculptures and best-selling vases."
David Fussenegger,https://homeandgift.co.uk/exhibitor/david-fussenegger,www.davidfussenegger.com,United Kingdom,description
