GMT SPAS INTERNATIONAL LTD,http://www.gmtspas.com/,"Address Unit 1A The Borders Industrial Park, River Lane Saltney Chester Cheshire CH4 8RJ United Kingdom","We are a Bespoke Tiled Spa manufacturer based in Chester.  We produce high quality Spas, Swim Spas and Hydrotherapy pools to the pool industry.
Our design department is run by university graduates who liaise with architects, designers and clients both in Great Britain and around the world.  We use the latest Solidworks design and stress simulation technology allowing total versatility to produce the most complex and accurate plans.  
Our workforce has a wealth of experience in the spa industry and adheres to stringent quality controls.  We believe that we produce the best spas on the market using the finest materials available.
 "
GOLDEN COAST,website,Address Fishleigh Road Roundswell Business Park (W) Barnstaple Devon EX31 3UA United Kingdom,description
HEATPUMPS4POOLS LTD,http://www.heatpumps4pools.com/,Address Unit 5 Radford Business Centre Radford Crescent Billericay Essex CM12 0DP United Kingdom,"HeatPumps4Pools are a leading specialist supplier of swimming pool heat pumps and associated pool equipment. .
At SPATEX 2019, we will be exhibiting our new range of Thermotec Inverter swimming pool heat pumps as well as our ranges of smaller heat pumps for above ground pools and hot tubs/spas.
With a network of over 150+ engineers throughout the UK and specialist knowlege of heat pumps, we are able to offer excellent support to the pool trade combined with competitive trade pricing.
We also stock spare parts for most brands of pool heat pumps.
Also on display will be the COVERFree liquid pool cover which can be used on indoor or outdoor domestic or residential pools.
We will also be demonstrating our new range of Aseko dosing systems. Our modified ""Drinkomat"" dosing system will be issuing free shots, so please drop by.
Please come and see us for a friendly chat on stand B5 to see how we can work together."
HEATSTAR LTD,website,address,description
HERBORNER PUMPENTECHNIK,http://www.herborner-pumpen.de/,Address GmbH & Co KG Littau 3-5 Herborn 35745 Germany,"Herborner pumps used in the field of clean-water engineering have become an integral part of many swimming-pool facilities and industrial water treatment plants. Circulation pumps, block pumps and self-priming pumps – we offer the perfect solution for every field of application.?"
INTOPOOL DIRECT,http://www.intopool.co.uk/,Address Unit 1B Norton House Fircroft Way Edenbridge Kent TN8 6EL United Kingdom,"Intopool is the designer and manufacturer of several popular products; the Monaco range of reels for domestic and commercial pools - manual, solar powered and fully electric; SmartGear 3in1 reduction gearbox; AquaSpoiler leading edge and SmartClic.  As well as these innovative products we have also been manufacturing pipe and pipe fittings for over 20 years."
ISPE,website,Address P O Box 3083 Norwich Norfolk NR6 7YL United Kingdom,description
ITS EUROPE LTD,http://www.itseurope.co.uk/,"Address The UK Centre For Homeland Secuity Bld 7, Chilmark Salisbury Wiltshire SP3 5DU United Kingdom","Industrial Test Systems Europe (ITS) manufactures accurate colour/metric water test kits including instrumentation and test strips. ITS products are safe, easy-to-use, and affordable for every pool/spa owner. Our most recent exciting product incorporates smarter digital water testing with a smartphone.The new eXact® iDip™ by ITS Europe is the first product in the recreational water testing market to provide complete wireless connectivity between the iPhone®, iPad®, or Android Devices and a handheld photometer. Data is seamlessly transferred between the two devices when paired with the eXact® iDip™ using Bluetooth® Smart wireless technology."
LIGHTHOUSE POOLS,http://www.lighthousepools.co.uk/,Address Unit 7 Meadow Close Langage Industrial Estate Plymouth Devon PL7 5EX United Kingdom,"Come and visit the Lighthouse Pools stand to immerse yourself in Heatform, Lighthouse's new, environmentally friendly pool system. Find out about the benefits of the Zodiac MagnaPool® magnesium-based water treatment solution and our Zodiac® robot swimming pool cleaners.
HeatForm has transformed the swimming pool construction process, whilst the added value of insulation keeps expensive heating bills to a minimum, helping to reduce the amount of energy required to keep pools at a comfortable temperature.
Not only does this reduce the amount of energy being wasted through heat loss, but also helps the environment by using empty plastic (PET) bottles to form the insulated section of the pool wall. 
MagnaPool® is an exclusive chlorinator solution that combines the natural properties of the patented magnesium-based MagnaPool minerals with an exceptionally fine filtration system, providing water without any chlorine smell or any eye or skin irritation. 
Zodiac Electric robotic cleaners are precise. Whatever the shape and dimensions of the pool, Zodiac robots reach every corner, climb the walls and clean the water line. These robotic cleaners are truly all-terrain: they adapt to all kinds of surfaces, perfectly grip the walls and get over obstacles easily. "
LO-CHLOR CHEMICALS,http://www.lo-chlor.co.uk/,Address Unit 6 Seaway Parade Industrial Estate Baglan Port Talbot SA12 7BR United Kingdom,"Lo-Chlor Chemicals are the leading manufacturers of speciality chemicals. For over 20 years our unique technologies have  assisted pool companies and owners globally in the effective management of their pool and hot tub water.
Our comprehensive proven range of formulas include algaecides, phosphate removers, flocculants and clarifiers, stain removal and control, maintenance and hot tub chemicals. All backed up with ISO quality control and dedicated technical support. 
   "
MEACO,http://www.meaco.com/,Address Meaco House Parklands Railton Road Guildford Surrey GU2 9JX United Kingdom,"An owner-managed British business, Meaco produces award-winning dehumidifiers and is a winner of three Which? “Best Buy” awards.
Meaco’s new range of ultra-quiet wall mounted swimming pool dehumidifiers offer a new standard in pool hall moisture control.  The DC fan provides, quieter, more energy efficient air distribution and drying, while the unique glass font provides a beautiful finish, in either white or black, sure to enhance any pool hall.
At just 202mm deep the dehumidifiers take up very little room and at 44dB they really do offer a quiet solution for indoor pool dehumidification.
Available in three sizes this new Meacowall range will be on show at Spatex on stand B31 for you to see for yourself just how good they really are.
Meaco is a socially aware company, making a financial contribution to the David Shepherd Wildlife Foundation with every sale of the firm’s Zambezi dehumidifier. "
NSURE,website,Address Nsure House 93 Rowlands Road Worthing West Sussex BN11 3JX United Kingdom,description
O-CARE,website,address,description
OASE AUTOMATIC POOL COVERS,http://www.oase.be/,Address de Judestraat 91 Knokke-Heist B-8300 Belgium,"The OASE name has been synonymous with quality and durability in the supply of automatic pool covers for more than 51 years.
“Consistently Raising The Quality Bar Since 1968″
  A landmark for the Benelux region, it was at the end of the 1960s that engineer Bertrand Claeys, developed and installed his first automatic pool cover in Zedelgem, Belgium. Even low heating costs at that time, could not deflect Bertrand from the conviction that every swimming pool needed a cover. With persistence and determination, he persuaded more and more people of his vision.  In every sense, he was a pioneering environmentalist.
Oase is now in the safe hands of experienced manager Frédéric Claeys who feels just as passionately about the environment and very strongly about quality and reliability in this business sector.
Continuous growth of the Oase brand has been achieved through the commitment of a highly motivated and specialist team of engineers and professionals. Automation is a key element in the continuous development of the business.
Meeting the high expectations of today’s and tomorrow’s world, Oase is uniquely positioned to satisfy the trends and meet the demands of the global swimming pool sector.
To achieve this aim, Oase has built a solid foundation with core values:
Service
Quality
Innovation
Safety
Diversity
Custom-made
Eco-friendly
Design
To our customers we offer these added value services:
• Client Portal: Packed with information, tenders, orders and payments through one, unique channel
• Quick Delivery: Putting our customers first is our primary concern with fast track order to delivery without compromising quality
• After Sales Service: By keeping our service in team; the Oase team is your exclusive point of contact offering consistent and quality support
• Technical Support: The Oase team works tirelessly as it strives to deliver continuous technical development
   "
OCEA AUTOMATIC POOL COVERS,http://www.oceacovers.co.uk/,"Address Unit 18 Avenue 1, Station Lane Industrial Estate Witney Oxfordshire OX28 4XZ United Kingdom","Two decades of excellence, elegance and engineering
We continue to strive to produce the best quality covers system, with continuous development of materials, production techniques and technology. With a mix of proven Ocea expertise and new exciting innovations, we remain at the forefront of the slatted cover market. Exclusively continuing to manufacture our own cover materials ensures that quality and elegance remain, unashamedly, our objective."
ON SITE POOL LININGS,http://www.on-sitepoollinings.com/,Address 22 Laughton Road Thurcroft Rotherham S. Yorkshire S66 9LP United Kingdom,"On-Site Pool Linings LTD. We are a family run business who take pride in our work. We install liners into swimming pools, ponds, natural swimming pools, public and private swiminng pools. We have a wide range of colours and patterns available. We offer free advice and free Quotations. Contact us for more information. 
   "
OXFORD ARCHITECTURAL STONE LTD,http://www.oxford-stone.co.uk/,Address . HA4 7AE United Kingdom,description
PARAMOUNT POOLS,website,address,description
PASSION SPAS,http://www.passionspas.com/,Address Fonteyn Meervelderweg 52 Uddel 3888 NK Netherlands,Passion Spas-Love your senses
PLASTICA LTD,http://www.plasticapools.net/,Address Perimeter House Napier Road St Leonards-on-Sea East Sussex TN38 9NY United Kingdom,"The UK's leading independent manufacturer and distributor of swimming pools products, including: covers, liners, water treatment, reels & accessories. We also manufacture our own range of premium wooden pools from our premises in the South East. We offer a site lining service to the domestic and commercial sector, as well as installation and servicing of commercial cover systems. We also manufacture the Argonaut and the Plastica AG pumps at our purpose built factory in East Sussex."
POOLLOCK UK LTD,http://www.poollock.com/,Address Units 2B & 1C Gatwick Business Park Kennel Lane Horley West Sussex RH6 OAY United Kingdom,"With over 30 years of experience, PoolLock is one of the world's leading manufacturers and suppliers of automatic safety covers, slatted covers and Proteam heat pumps for swimming pools. In 2013, PoolLock opened its first UK production facility in Gatwick, London, with installation teams that are available 24 hours a day / 7 days a week."
RECOTHERM,http://www.recotherm.co.uk/,"Address Unit A, Astwood Business Park Astwood Lane Astwood Bank Redditch Worcestershire B96 6HH United Kingdom","Recotherm have been in the business of 'Controlled Fresh Air' ventilation for over 30 years.
We offer high grade pool ventilation solutions to the Swimming Pool Contractor, at a price that is comparable with our competition, with quality and efficiency as standard.
Widely used by leading M&E Engineers on large pool/leisure complexes due to our ability to provide ventilation solutions that work well with minimal running costs.  That pedigree is also available for the smaller pool/spa complex market.
We constantly improve our capabilities and performance year-on-year.  This benefits our customers by our continued development of high grade units that are reasonable in price.
Our units are designed and manufactured in the UK using state-of-the-art climate control strategies that take full advantage of BEMS, EC fans, fully modulated valves, double skinned cabinet construction (for better insulation and longevity) to produce a unit that works efficiently for many years and delivers exceptionally low running costs for the end user.  Our products are only available from ourselves direct, meaning there are no middle men to pay.
We can accommodate special adaptations and offer a 'flat pack' service that helps where access to the plant room is limited.
Visit us on Stand C52.
 "
SCP UK LTD,http://www.scppool.com/,Address Church Road Lowfield Heath Crawley West Sussex RH11 0PQ United Kingdom,description
SPA PARTS VORTEX,https://www.spapartsvortex.eu/,"Address Unit 3, Larchwood Business Centre Larchwood Avenue Havant Hampshire PO9 3BE United Kingdom",We are Europe's leading distributor of spa and hot tub spare parts to trade. This year will be showcasing some of the latest products from the biggest brands.
SPA SOLUTIONS,http://www.spasolution.co.uk/,"Address Unit 8, Northfield Point Cunliffe Drive Kettering Northamptonshire NN16 9QJ United Kingdom","Spa Solutions offer a first class portfolio supplying quality USA branded hot tubs lines and private label hot tub and spa programmes to suit all types retail, holiday park and commercial businesses throughout the UK and mainland Europe.
Over the last 20 years we have fine tuned to the needs of our customers and offer a large number of stock, which is available from our Peterborough distribution centre.
We are looking to grow further our UK dealership network by offering available, quality hot tubs at competitive pricing .
Please come over and visit us at stand F50 to see what spa programme could work for you!"
SPAFLO,http://www.spaflo.co.uk/,Address 301 Hanover House Hanover Street Liverpool L1 3DZ United Kingdom,description
SPN,http://www.swimmingpoolnews.co.uk/,Address 73 Langmore Court Bexleyheath Kent DA6 8BZ United Kingdom,"Informing the pool and spa industry since 1959. Covering the UK's wet leisure market, SPN (Swimming Pool News) is the UK's longest running and most respected trade title. Produced bi-monthly, the magazine covers swimming pools, covers, enclosures, spas, swim spas, hot tubs, saunas, chemicals, accessories and much, much more! It now also includes the BSPF title Pool & Spa Industry and regular content from the STA."
SPRAYED CONCRETE SOLUTIONS,http://www.sprayed-concrete.co.uk/,Address Unit 10 Enterprise Park Russell Road Southport Merseyside PR9 7RF United Kingdom,"Sprayed Concrete for construction
The flexible and efficient way to create concrete walls and supporting structures
Sprayed Concrete Solutions are the ‘go-to’ specialist in the field of sprayed concrete applications, and have been engaged in many of the most distinguished contracts across the UK.
You can be sure that when commissioning our sprayed concrete team, you are getting one of the UK’s most skilled and reliable suppliers, always striving to achieve the highest level of professional standards.
Our in-house design engineers will help and advise you, using their decades of knowledge and experience to ensure you get the result you need for your construction project.
Used for over 100 years, sprayed concrete is an extremely versatile material that lends itself to many applications in the industry, particularly where complex forms or shapes are required. Efficiency is excellent with the potential to complete in up to 50% of the time for traditional shuttered and poured methods."
STONEWORLD (OXFORDSHIRE) LTD,https://www.stoneworld.co.uk/,Address Views Farm Great Milton Oxfordshire OX44 7NW United Kingdom,"Please visit us at stand F21 during SPATEX 2022.
We will show you how using our natural stone pool copings can significantly improve the final appearance of your swimming pool projects.
This year we will be championing British Stone, as a fantastic option helping us all to lower our carbon footprint.
Matched to your surrounding landscaping or floor tiles, we are able to create made to measure pool copings, Roman ends, drainage & air grilles, and inspection covers from many natural stone materials.
All work is carried out in our own workshop in Oxfordshire, meaning we can be very dynamic and responsive to the needs of our customers, fulfilling orders in a timely manner.
We look forward to meeting you at SPATEX 2022"
SUNBEACH SPAS,http://www.sunbeachspas.co.uk/,Address Unit 3 Block 20 Hallam Way Old Mill Lane Industrial Estate Mansfield Woodhouse Notts NG19 9BG United Kingdom,"Sunbeach Spas are your one-stop shop for all things hot tubs - with high-quality hot tubs designed in-house, and a full range of complementary accessories and chemicals, we have everything you and your customers need. We are now on our second year at Spatex and will continue to innovate with the newest Hot Tub Technology as well as bring great deals to new dealerships. We are the Winners of Energy Efficiency Award with our R10 Insulation as well as Silver for Semi-Sunken Hotel Project by UK Pool & Spa Awards."
SUNTRAP SYSTEMS,http://www.suntrap-systems.co.uk/,"Address Unit 10, Flexspace Business Centre Middlemore Road West Bromwich B21 0AL United Kingdom","Suntrap Systems - specialists in pool lifts and hoists.  If a customer needs help accessing their pool, hot tub or swimspa, then Suntrap Systems will have a solution..  Whether private or commercial projects, in-ground or above-ground pools, leisure or hydrotherapy, Suntrap Systems have the experience and know-how to ensure access for all.    "
SUPERIOR WELLNESS,website,Address Unit 6 Devonshire Ind Hamlet Station Road Brimington Chesterfield Derbyshire S43 1JU United Kingdom,description
THE HOT TUB OUTLET,website,"Address Unit 1 JGB Investment Park Stephens Way, Goose Green Wigan Lancashire WN3 6PG United Kingdom","Selected area dealer opportunities are available for all products along with our established, unique to the industry, Brand2Go dealer system.

Call on stand D51 for an informal chat on how we can help you increase your sales in 2021!
 "
THE MOSAIC COMPANY,http://www.swimmingpooltiles.co.uk/,Address On Reflection Ceramics Ltd Unit 4 Parkway Trading Estate St Werburghs Bristol BS2 9PG United Kingdom,"The ultimate mosaic collection. Glass, ceramic, porcelain from the worlds leading manufacturers. A dedicated professional team offering unparalleled service."
THE MOSAIC SPA COMPANY,https://www.mosaicspa.co.uk/,Address The Mosaic Spa Company 2 Hereford Road Pocklington Industrial Estate York YO42 1NR United Kingdom,"We manufacture a wide range of high quality mosaic tiled spas, swim spas and hydrotherapy pools, from standard sizes to bespoke luxurious spas, using only the finest marine grade materials.
Working closely with our clients, the UK’s leading swimming pool and spa installation companies and Leisure Business organisations, we design and manufacture GRP fibreglass mosaic tiled spas of all shapes and sizes, to the highest quality and finish."
THERMALEC POOL & SPA PRODUCTS,http://www.thermalec.co.uk/,"Address Kingsley Close, East Way Lee Mill Industrial Estate Ivybridge Devon PL21 9LL United Kingdom","Thermalec Products founded in 1966, in South East England, relocated to Devon in 1978.
 In 1999 the company joined the Meddings Group complementing and enhancing the Group’s engineering activity. Thermalec Pool & Spa Heaters are renowned for their design, quality and reliability and have a well-established market in the UK and in the Middle East. They are used mainly for swimming pools but also for fish ponds, spas and central heating.
Other Companies in the Meddings Group:
Meddings Machine Tools founded in 1941 also in South East England, outgrowing several premises culminating in a move in 1975 to its present manufacturing facility in Ivybridge, Devon. The company specialises in the design, manufacture and sales of drilling machines and is one of the last remaining manufacturers of such products in the UK. Its strength lies in the quality and durability of its product and its ability to offer built-in features not available from other suppliers. 
Meddings Engineering is the manufacturing division of the group. It machines parts and assemblies for the other group members. As parts of its services it now offers precision engineering services including CNC machining, welding and fabrication on a sub-contract basis."
THERMIC LEISURE SUPPLIES LTD,http://www.thermicleisuresupplies.co.uk/,Address PO Box 392 Leyland Lancashire PR25 9FP United Kingdom,"Thermic Leisure Supplies offer a range of products to the leisure industry.  Thermic are one of only 2 UK partners of Cipriani Plate Heat Exchangers, Italy and offer these at very competative rates.  We also specilaise in GRP water tanks from one piece through to sectional as well as specialist stainless steel products consisting of strainers, manifolds and one piece spa's.  Thermic Leisure Supplies are constaly looking to develop specialist products to supply to the leisure industry and look forward to meeting new and old customers"
UNIPOOLS LIMITED,http://www.unipools.com/,Address 621 Watford Way Mill Hill London NW7 3JN United Kingdom,description
VIAN LEISURE PRODUCTS LTD,website,Address Unit 10 Standard Way Fareham Industrial Park Fareham Hampshire PO16 8XB United Kingdom,description
WATERCO EUROPE,http://www.waterco.eu/,"Address Radfield Radfield, London Rd. Teynham Kent ME9 9PS United Kingdom","Waterco is an Australian public listed company which has been established for over 30 years with a strong international presence in the water industry. Waterco is a public listed company trading on the Sydney stock exchange (stock code ASX:WAT) with a global presence and branches in the UK, Australia, Malaysia, China, United States, Canada and New Zealand. Waterco is a manufacturing company specialising in the production of fibreglass and injection moulded products for the swimming pool, spa and water treatment industries.
Waterco’s success has been driven by its pioneering fibreglass and plastic moulding techniques, as well as its efficient manufacturing processes, enabling the company to deliver high quality products at exceptional value."
